X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
0.2364,0.3704,2.8358,2.68,0.2922,4.9824,4.0784,0.0587,17,0.201,0.6949,0.9308,1
0.4197,0.7684,1.5088,1.74,0.6029,3.6808,2.6148,0.1536,69,0.272,0.9572,1.0009,1
0.2563,0.4054,2.5943,2.68,0.3174,4.5432,3.455,0.067,16,0.22,0.6122,1.2231,1
0.1461,0.2961,3.5115,3.21,0.3493,4.7641,4.5352,0.0642,29,0.21,0.6334,1.6354,1
0.0813,0.2527,4.0776,3.82,0.2495,4.6889,4.5852,0.0426,18,0.213,0.5658,3.312,1
0.2098,0.4083,2.4753,2.53,0.3108,3.5519,2.8901,0.1173,17,0.282,0.5487,1.9929,1
0.2696,0.4424,2.5183,2,0.5724,4.4796,3.6582,0.0698,36,0.223,0.8753,0.9797,1
0.2423,0.3421,2.9624,2.64,0.1925,4.5268,3.5046,0.0595,8,0.221,0.5539,1.0214,1
0.1753,0.367,2.8876,2.71,0.2967,3.8738,3.4709,0.0751,10,0.258,0.6074,2.1629,1
0.2005,0.3864,2.6157,2.62,0.2907,3.7978,3.1632,0.0992,6,0.263,0.5779,1.6961,1
0.4145,0.7316,1.5067,1.84,0.642,2.8465,1.9267,0.2323,42,0.351,0.6067,1.3801,0
0.1911,0.3155,3.2552,2.73,0.2651,4.4073,3.8877,0.0453,14,0.227,0.5833,1.4499,1
0.911,1.4166,0.9103,1.03,1.0691,2.7288,2.0114,0.2682,138,0.366,0.9671,0.6792,0
0.2369,0.4084,2.676,2.62,0.3769,3.9622,3.3362,0.0935,36,0.252,0.5593,1.4531,1
0.1549,0.3256,3.1818,3,0.2211,4.5807,4.0046,0.024,10,0.218,0.7207,1.5043,1
0.1429,0.2695,3.7552,3.35,0.0782,4.6371,4.4564,0.0137,8,0.216,0.5158,1.718,1
0.1714,0.2913,3.4375,3.06,0.1353,4.997,4.5773,0.0479,8,0.2,0.6415,1.1632,1
0.1248,0.2653,3.9334,3.54,0.2015,5.2223,4.7707,0.0548,15,0.191,0.6479,1.7936,1
0.1143,0.2697,3.7242,3.66,0.1038,4.9497,4.3858,0.0445,6,0.202,0.6234,1.9671,1
0.1774,0.3297,3.1474,3.03,0.1684,5.0249,4.2287,0.0377,21,0.199,0.7169,1.2564,1
0.4015,0.7083,1.6686,1.9,0.6797,3.9243,2.6305,0.2021,80,0.255,0.9044,1.0197,1
0.185,0.3552,2.9716,3.26,0.2887,4.7424,3.8367,0.0753,25,0.211,0.5999,1.4671,1
0.0579,0.2338,4.4009,4.28,0.2957,4.9437,4.8077,0.0865,16,0.202,0.566,4.2596,1
0.206,0.3895,2.6868,2.61,0.3053,3.802,3.1855,0.1267,12,0.263,0.5884,1.8968,1
0.1594,0.3385,3.1232,2.91,0.2932,4.6263,4.2785,0.0856,32,0.216,0.7717,1.4542,1
0.2541,0.403,2.7461,2.24,0.4812,4.6572,3.8089,0.0993,20,0.215,0.8194,1.0623,1
0.1479,0.3086,3.3192,3.36,0.2104,4.4021,3.8587,0.0588,18,0.227,0.4662,1.9235,1
0.1341,0.3142,3.1831,3.04,0.2012,4.1751,3.7449,0.0519,8,0.24,0.6195,2.2745,1
0.2012,0.3798,2.6973,2.66,0.3445,3.8062,3.2365,0.1315,9,0.263,0.5526,1.6761,1
0.3704,0.662,1.6211,1.97,0.5595,3.068,2.0949,0.2284,28,0.326,0.6257,1.2747,1
0.1326,0.2979,3.5665,3.25,0.2698,4.4944,4.2235,0.0588,22,0.222,0.6133,2.0374,1
0.9293,1.3563,0.9746,1.05,1.1955,2.863,1.9169,0.3459,113,0.349,0.898,0.5761,0
0.253,0.4174,2.6587,2.59,0.3811,4.0026,3.3504,0.0934,28,0.25,0.533,1.297,1
